"ID"	"adj.P.Val"	"P.Value"	"logFC"	"Gene.symbol"
"236831_at"	"0.0239"	"4.37e-07"	"1.05"	"CCDC50"
"229800_at"	"0.1548"	"7.29e-06"	"6.29e-01"	"DCLK1"
"243221_at"	"0.1548"	"8.50e-06"	"1.10"	"FAM20A"
"202342_s_at"	"0.2112"	"1.86e-05"	"6.20e-01"	"TRIM2"
"244704_at"	"0.2112"	"1.93e-05"	"6.29e-01"	"NFYB"
"205283_at"	"0.2207"	"2.42e-05"	"5.39e-01"	"FKTN"
"209719_x_at"	"0.242"	"3.38e-05"	"-5.58e-01"	"SERPINB3"
"228162_at"	"0.242"	"4.41e-05"	"6.59e-01"	"ESD"
"201764_at"	"0.242"	"5.01e-05"	"-4.43e-01"	"TMEM106C"
"230102_at"	"0.242"	"5.09e-05"	"8.00e-01"	"ETV5"
"243023_at"	"0.242"	"5.57e-05"	"5.88e-01"	""
"213238_at"	"0.242"	"5.67e-05"	"-6.58e-01"	"ATP10D"
"227558_at"	"0.242"	"5.75e-05"	"6.70e-01"	"CBX4"
"203697_at"	"0.2594"	"6.67e-05"	"-6.82e-01"	"FRZB"
"228191_at"	"0.2594"	"7.43e-05"	"4.60e-01"	"FLVCR1"
"206001_at"	"0.2594"	"8.22e-05"	"5.47e-01"	"NPY"
"203636_at"	"0.2594"	"9.10e-05"	"4.87e-01"	"MID1"
"224565_at"	"0.2594"	"9.70e-05"	"9.20e-01"	"MIR612///NEAT1"
"230174_at"	"0.2594"	"9.79e-05"	"6.29e-01"	"LYPLAL1"
"203637_s_at"	"0.2594"	"1.05e-04"	"5.25e-01"	"MID1"
"225732_at"	"0.2594"	"1.06e-04"	"4.72e-01"	"KLHL42"
"235419_at"	"0.2594"	"1.16e-04"	"4.69e-01"	""
"213224_s_at"	"0.2594"	"1.20e-04"	"5.07e-01"	"BBIP1"
"227107_at"	"0.2594"	"1.21e-04"	"-3.63e-01"	"PANX1"
"208358_s_at"	"0.2594"	"1.25e-04"	"-3.80e-01"	"UGT8"
"226039_at"	"0.2594"	"1.32e-04"	"-6.76e-01"	"MGAT4A"
"220448_at"	"0.2594"	"1.33e-04"	"7.58e-01"	"KCNK12"
"238574_at"	"0.2594"	"1.33e-04"	"4.82e-01"	"SLC25A51"
"211906_s_at"	"0.2652"	"1.41e-04"	"-8.75e-01"	"SERPINB4"
"241936_x_at"	"0.271"	"1.49e-04"	"4.66e-01"	""
"202036_s_at"	"0.2722"	"1.65e-04"	"-7.63e-01"	"SFRP1"
"202037_s_at"	"0.2722"	"1.66e-04"	"-8.38e-01"	"SFRP1"
"225853_at"	"0.2722"	"1.68e-04"	"3.91e-01"	"GNPNAT1"
"203349_s_at"	"0.2722"	"1.80e-04"	"5.77e-01"	"ETV5"
"221965_at"	"0.2722"	"1.92e-04"	"4.70e-01"	""
"204914_s_at"	"0.2722"	"2.01e-04"	"-4.97e-01"	"SOX11"
"223737_x_at"	"0.2722"	"2.04e-04"	"-3.94e-01"	"CHST9"
"243624_at"	"0.2722"	"2.10e-04"	"5.06e-01"	"PIAS2"
"225961_at"	"0.2722"	"2.14e-04"	"4.59e-01"	"KLHL42"
"227179_at"	"0.2722"	"2.17e-04"	"-4.97e-01"	"STAU2"
"218829_s_at"	"0.2722"	"2.32e-04"	"-6.16e-01"	"CHD7"
"221704_s_at"	"0.2722"	"2.35e-04"	"4.29e-01"	"VPS37B"
"222402_at"	"0.2722"	"2.36e-04"	"4.84e-01"	"POMP"
"226965_at"	"0.2722"	"2.36e-04"	"4.32e-01"	"DENND6A"
"1553171_x_at"	"0.2722"	"2.41e-04"	"4.56e-01"	"LRRN4"
"229027_at"	"0.2722"	"2.46e-04"	"6.36e-01"	"PPM1A"
"210413_x_at"	"0.2722"	"2.49e-04"	"-6.49e-01"	"SERPINB4///SERPINB3"
"1553713_a_at"	"0.2722"	"2.49e-04"	"4.37e-01"	"RHEBL1"
"232668_at"	"0.2722"	"2.52e-04"	"7.19e-01"	""
"217826_s_at"	"0.2722"	"2.54e-04"	"-6.39e-01"	"UBE2J1"
"214140_at"	"0.2722"	"2.56e-04"	"6.58e-01"	"SLC25A16"
"204345_at"	"0.2722"	"2.63e-04"	"5.77e-01"	"COL16A1"
"215146_s_at"	"0.2722"	"2.77e-04"	"4.35e-01"	"TTC28"
"226117_at"	"0.2722"	"2.78e-04"	"-7.24e-01"	"TIFA"
"229734_at"	"0.2722"	"2.79e-04"	"5.68e-01"	"MIR4697///MIR4697HG"
"229145_at"	"0.2722"	"2.79e-04"	"4.72e-01"	"ANAPC16"
"227580_s_at"	"0.2814"	"2.97e-04"	"3.82e-01"	"TECPR1"
"235747_at"	"0.2814"	"3.00e-04"	"6.72e-01"	"LINC00849///SLC25A16"
"232825_s_at"	"0.2814"	"3.07e-04"	"-3.72e-01"	"DSEL"
"213413_at"	"0.2814"	"3.12e-04"	"-4.88e-01"	"STON1"
"224593_at"	"0.2814"	"3.21e-04"	"-4.32e-01"	"ZNF664"
"204024_at"	"0.2814"	"3.26e-04"	"4.14e-01"	"OSGIN2"
"240611_at"	"0.2814"	"3.30e-04"	"-3.71e-01"	""
"204158_s_at"	"0.2814"	"3.36e-04"	"3.31e-01"	"TCIRG1"
"228562_at"	"0.2814"	"3.38e-04"	"4.45e-01"	"ZBTB10"
"239286_at"	"0.2814"	"3.44e-04"	"4.25e-01"	"CDH11"
"241834_at"	"0.2814"	"3.53e-04"	"5.13e-01"	"LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNRPN///IPW"
"1553169_at"	"0.2814"	"3.61e-04"	"4.50e-01"	"LRRN4"
"224994_at"	"0.2814"	"3.63e-04"	"4.92e-01"	"CAMK2D"
"231396_s_at"	"0.2814"	"3.65e-04"	"-5.22e-01"	"FAM126A"
"242767_at"	"0.2814"	"3.65e-04"	"5.54e-01"	"LMCD1"
"225496_s_at"	"0.2858"	"3.86e-04"	"6.25e-01"	"SYTL2"
"235371_at"	"0.2858"	"3.92e-04"	"-5.18e-01"	"GXYLT2"
"203348_s_at"	"0.2858"	"3.93e-04"	"4.68e-01"	"ETV5"
"215028_at"	"0.2858"	"3.94e-04"	"3.89e-01"	"SEMA6A"
"235007_at"	"0.2858"	"3.97e-04"	"3.57e-01"	"BBS7"
"222906_at"	"0.2875"	"4.05e-04"	"5.66e-01"	"FLVCR1"
"1557828_a_at"	"0.2917"	"4.16e-04"	"4.99e-01"	"TMEM267"
"227376_at"	"0.2961"	"4.32e-04"	"-4.46e-01"	"GLI3"
"1565577_s_at"	"0.2961"	"4.33e-04"	"7.09e-01"	""
"220615_s_at"	"0.2974"	"4.41e-04"	"-4.81e-01"	"FAR2"
"220275_at"	"0.2994"	"4.53e-04"	"-6.71e-01"	"CUZD1"
"212911_at"	"0.2994"	"4.62e-04"	"5.31e-01"	"DNAJC16"
"203912_s_at"	"0.2994"	"4.71e-04"	"4.12e-01"	"DNASE1L1"
"206891_at"	"0.2994"	"4.90e-04"	"6.65e-01"	"ACTN3"
"227946_at"	"0.2994"	"4.90e-04"	"5.62e-01"	"OSBPL7"
"222824_at"	"0.2994"	"4.92e-04"	"3.28e-01"	"NUDT5"
"202341_s_at"	"0.2994"	"4.94e-04"	"6.07e-01"	"TRIM2"
"242671_at"	"0.2994"	"5.07e-04"	"3.42e-01"	""
"235505_s_at"	"0.2994"	"5.09e-04"	"4.84e-01"	"LRPAP1"
"213704_at"	"0.2994"	"5.10e-04"	"3.93e-01"	"SNORD45C///SNORD45A///SNORD45B///RABGGTB"
"214734_at"	"0.2994"	"5.11e-04"	"-5.14e-01"	"EXPH5"
"226249_at"	"0.2994"	"5.17e-04"	"4.36e-01"	"SNX30"
"228905_at"	"0.2994"	"5.24e-04"	"5.46e-01"	"PCM1"
"1555500_s_at"	"0.2994"	"5.33e-04"	"5.77e-01"	"SLC2A4RG"
"214156_at"	"0.2994"	"5.37e-04"	"-4.45e-01"	"MYRIP"
"224367_at"	"0.2994"	"5.45e-04"	"3.75e-01"	"BEX2"
"226203_at"	"0.2994"	"5.49e-04"	"4.53e-01"	"MYO9A"
"208070_s_at"	"0.2994"	"5.50e-04"	"4.63e-01"	"REV3L"
"1557636_a_at"	"0.2994"	"5.55e-04"	"5.42e-01"	"C7orf57"
"219471_at"	"0.2994"	"5.68e-04"	"-4.85e-01"	"KIAA0226L"
"204811_s_at"	"0.2994"	"5.70e-04"	"5.10e-01"	"CACNA2D2"
"204712_at"	"0.2994"	"5.73e-04"	"5.80e-01"	"WIF1"
"219259_at"	"0.2994"	"5.75e-04"	"4.60e-01"	"SEMA4A"
"225018_at"	"0.2994"	"5.81e-04"	"-5.23e-01"	"SPIRE1"
"222755_s_at"	"0.2994"	"5.83e-04"	"-5.81e-01"	"CHD7"
"227853_at"	"0.2994"	"5.98e-04"	"3.82e-01"	"PLBD2"
"243159_x_at"	"0.2994"	"5.98e-04"	"3.44e-01"	""
"211245_x_at"	"0.2994"	"6.05e-04"	"-3.09e-01"	"KIR2DL4"
"219209_at"	"0.2994"	"6.17e-04"	"-5.48e-01"	"IFIH1"
"41577_at"	"0.2994"	"6.18e-04"	"-3.18e-01"	"PPP1R16B"
"1556121_at"	"0.2994"	"6.19e-04"	"3.36e-01"	"NAP1L1"
"226894_at"	"0.2994"	"6.25e-04"	"3.49e-01"	"SLC35A3"
"242607_at"	"0.2994"	"6.27e-04"	"5.33e-01"	""
"205525_at"	"0.2994"	"6.30e-04"	"4.33e-01"	"CALD1"
"203548_s_at"	"0.3046"	"6.50e-04"	"-6.35e-01"	"LPL"
"229218_at"	"0.3046"	"6.52e-04"	"4.77e-01"	"COL1A2"
"235904_at"	"0.3049"	"6.60e-04"	"-5.42e-01"	"UGT3A1"
"220093_at"	"0.3049"	"6.64e-04"	"3.69e-01"	"ANTXR1"
"215671_at"	"0.3053"	"6.72e-04"	"2.99e-01"	"PDE4B"
"240263_at"	"0.3053"	"6.76e-04"	"4.03e-01"	""
"202619_s_at"	"0.3079"	"6.94e-04"	"-6.22e-01"	"PLOD2"
"218025_s_at"	"0.3079"	"6.96e-04"	"-5.24e-01"	"ECI2"
"228552_s_at"	"0.3079"	"7.02e-04"	"3.28e-01"	"ISYNA1"
"1570020_at"	"0.3079"	"7.23e-04"	"5.27e-01"	"AACSP1"
"1555613_a_at"	"0.3079"	"7.27e-04"	"-3.54e-01"	"ZAP70"
"237821_at"	"0.3079"	"7.32e-04"	"-3.71e-01"	""
"230211_at"	"0.3079"	"7.35e-04"	"7.08e-01"	"TRIP11"
"242273_at"	"0.3079"	"7.40e-04"	"3.64e-01"	"LLPH"
"211599_x_at"	"0.3079"	"7.42e-04"	"-4.88e-01"	"MET"
"235646_at"	"0.3079"	"7.53e-04"	"3.81e-01"	""
"239516_at"	"0.3079"	"7.53e-04"	"5.21e-01"	""
"1570588_at"	"0.3079"	"7.59e-04"	"4.39e-01"	""
"214469_at"	"0.3079"	"7.60e-04"	"5.86e-01"	"HIST1H2AE"
"205573_s_at"	"0.3079"	"7.63e-04"	"-2.66e-01"	"SNX7"
"238697_at"	"0.3079"	"7.66e-04"	"4.74e-01"	"SMIM10L2A"
"227728_at"	"0.3087"	"7.74e-04"	"3.59e-01"	"PPM1A"
"237275_at"	"0.3094"	"7.81e-04"	"-9.72e-01"	"LINC00458"
"228311_at"	"0.3101"	"7.88e-04"	"-3.71e-01"	"BCL6B"
"215731_s_at"	"0.3183"	"8.17e-04"	"7.23e-01"	"MPHOSPH9"
"215198_s_at"	"0.3183"	"8.26e-04"	"3.83e-01"	"CALD1"
"222924_at"	"0.3183"	"8.29e-04"	"2.89e-01"	"SLMAP"
"214487_s_at"	"0.3183"	"8.41e-04"	"-5.23e-01"	"RAP2B///RAP2A"
"232130_at"	"0.3183"	"8.44e-04"	"4.09e-01"	""
"203698_s_at"	"0.3183"	"8.45e-04"	"-5.58e-01"	"FRZB"
"227506_at"	"0.3183"	"8.50e-04"	"1.02"	"SLC16A9"
"226568_at"	"0.3196"	"8.59e-04"	"-4.87e-01"	"FAM102B"
"227708_at"	"0.3198"	"8.67e-04"	"4.31e-01"	"EEF1A1"
"225701_at"	"0.3198"	"8.75e-04"	"3.98e-01"	"AKNA"
"236094_at"	"0.3198"	"8.78e-04"	"4.82e-01"	"TCF7L2"
"212179_at"	"0.3198"	"8.83e-04"	"3.59e-01"	"PNISR"
"236571_at"	"0.3198"	"8.89e-04"	"5.01e-01"	""
"229615_at"	"0.3203"	"8.96e-04"	"3.30e-01"	"SLX4IP"
"205440_s_at"	"0.3229"	"9.09e-04"	"-8.00e-01"	"NPY1R"
"225969_at"	"0.3254"	"9.28e-04"	"3.12e-01"	"ALKBH6"
"230904_at"	"0.3254"	"9.34e-04"	"4.08e-01"	"FSD1L"
"216957_at"	"0.3254"	"9.34e-04"	"3.79e-01"	"USP22"
"214779_s_at"	"0.3269"	"9.48e-04"	"4.68e-01"	"SGSM3"
"227668_at"	"0.3269"	"9.51e-04"	"3.81e-01"	"TEPSIN"
"214324_at"	"0.3269"	"9.57e-04"	"-2.82e-01"	"GP2"
"224400_s_at"	"0.3273"	"9.73e-04"	"-4.31e-01"	"CHST9"
"218330_s_at"	"0.3273"	"9.75e-04"	"4.86e-01"	"NAV2"
"224835_at"	"0.3273"	"9.76e-04"	"7.42e-01"	"GPCPD1"
"222808_at"	"0.3284"	"9.94e-04"	"4.21e-01"	"ALG13"
"214808_at"	"0.3284"	"1.00e-03"	"4.53e-01"	""
"222435_s_at"	"0.3284"	"1.01e-03"	"-4.94e-01"	"UBE2J1"
"240690_at"	"0.3284"	"1.01e-03"	"6.17e-01"	""
"239451_at"	"0.3284"	"1.02e-03"	"3.59e-01"	""
"204424_s_at"	"0.3284"	"1.02e-03"	"-4.27e-01"	"LMO3"
"235692_at"	"0.3284"	"1.02e-03"	"6.10e-01"	"SH3KBP1"
"244660_at"	"0.3284"	"1.03e-03"	"5.19e-01"	"ELAVL1"
"219454_at"	"0.3286"	"1.03e-03"	"-3.61e-01"	"EGFL6"
"239134_at"	"0.335"	"1.06e-03"	"4.12e-01"	""
"220179_at"	"0.335"	"1.07e-03"	"4.18e-01"	"DPEP3"
"1569287_at"	"0.3366"	"1.08e-03"	"-5.99e-01"	"LINC00458"
"226123_at"	"0.3366"	"1.08e-03"	"-5.33e-01"	"CHD7"
"233771_at"	"0.3368"	"1.09e-03"	"5.68e-01"	""
"203946_s_at"	"0.3407"	"1.11e-03"	"-3.85e-01"	"ARG2"
"221935_s_at"	"0.3407"	"1.12e-03"	"3.22e-01"	"EOGT"
"203889_at"	"0.3407"	"1.12e-03"	"3.66e-01"	"SCG5"
"242981_at"	"0.3407"	"1.13e-03"	"3.69e-01"	""
"227909_at"	"0.3418"	"1.14e-03"	"3.56e-01"	"SMIM10L2B///SMIM10L2A"
"203328_x_at"	"0.3418"	"1.14e-03"	"-3.56e-01"	"IDE"
"219435_at"	"0.3418"	"1.15e-03"	"3.62e-01"	"CTC1"
"226755_at"	"0.3436"	"1.16e-03"	"6.00e-01"	"MIR205HG"
"235830_at"	"0.3437"	"1.17e-03"	"5.04e-01"	"NT5DC1"
"216775_at"	"0.3437"	"1.18e-03"	"4.76e-01"	"USP53"
"209413_at"	"0.3441"	"1.18e-03"	"3.51e-01"	"B4GALT2"
"203518_at"	"0.3488"	"1.21e-03"	"-3.36e-01"	"LYST"
"1568658_at"	"0.3544"	"1.23e-03"	"3.58e-01"	"C2orf74///KIAA1841"
"236261_at"	"0.3557"	"1.25e-03"	"4.57e-01"	"OSBPL6"
"221211_s_at"	"0.3557"	"1.26e-03"	"-2.91e-01"	"MAP3K7CL"
"233020_at"	"0.3557"	"1.26e-03"	"3.51e-01"	"SEC22B"
"234472_at"	"0.3558"	"1.26e-03"	"-5.14e-01"	"GALNT13"
"226045_at"	"0.361"	"1.29e-03"	"-2.91e-01"	"FRS2"
"226178_at"	"0.362"	"1.30e-03"	"3.31e-01"	"SOCS4"
"225019_at"	"0.3663"	"1.32e-03"	"5.45e-01"	"CAMK2D"
"204264_at"	"0.3722"	"1.35e-03"	"4.17e-01"	"CPT2"
"244347_at"	"0.3722"	"1.35e-03"	"4.37e-01"	""
"215128_at"	"0.3727"	"1.37e-03"	"3.99e-01"	""
"237290_at"	"0.3727"	"1.38e-03"	"4.82e-01"	""
"232454_at"	"0.3727"	"1.39e-03"	"3.68e-01"	""
"214369_s_at"	"0.3727"	"1.39e-03"	"4.65e-01"	"RASGRP2"
"229302_at"	"0.3727"	"1.40e-03"	"-7.01e-01"	"TMEM178A"
"224791_at"	"0.3727"	"1.43e-03"	"4.63e-01"	"ASAP1"
"226412_at"	"0.3727"	"1.44e-03"	"3.35e-01"	"PNISR"
"226311_at"	"0.3727"	"1.44e-03"	"-6.12e-01"	"ADAMTS2"
"232355_at"	"0.3727"	"1.44e-03"	"3.85e-01"	"SNORD114-3"
"223051_at"	"0.3727"	"1.46e-03"	"3.90e-01"	"SSU72"
"1569835_at"	"0.3727"	"1.47e-03"	"-3.88e-01"	"LOC339352"
"202226_s_at"	"0.3727"	"1.48e-03"	"-4.20e-01"	"CRK"
"209514_s_at"	"0.3727"	"1.48e-03"	"-4.77e-01"	"RAB27A"
"1557064_s_at"	"0.3727"	"1.48e-03"	"-3.00e-01"	"HGSNAT"
"215919_s_at"	"0.3727"	"1.48e-03"	"3.99e-01"	"MRPS11"
"225385_s_at"	"0.3727"	"1.49e-03"	"3.25e-01"	"HNRNPLL"
"235051_at"	"0.3727"	"1.50e-03"	"6.92e-01"	"CCDC50"
"204596_s_at"	"0.3727"	"1.50e-03"	"-7.88e-01"	"STC1"
"231017_at"	"0.3727"	"1.50e-03"	"2.97e-01"	"STK11"
"1569023_a_at"	"0.3727"	"1.50e-03"	"-1.14"	"LINC00458"
"223437_at"	"0.3727"	"1.50e-03"	"-4.64e-01"	"PPARA"
"222326_at"	"0.3727"	"1.51e-03"	"9.05e-01"	""
"213058_at"	"0.3727"	"1.52e-03"	"3.84e-01"	"TTC28"
"243301_at"	"0.3727"	"1.52e-03"	"-2.61e-01"	"COL22A1"
"203224_at"	"0.3727"	"1.53e-03"	"4.64e-01"	"RFK"
"232914_s_at"	"0.3727"	"1.53e-03"	"6.02e-01"	"SYTL2"
"229804_x_at"	"0.3727"	"1.54e-03"	"4.03e-01"	"CBWD7///CBWD6///CBWD3///CBWD5///CBWD2///CBWD1"
"236610_at"	"0.3727"	"1.55e-03"	"7.92e-01"	""
"207934_at"	"0.3727"	"1.55e-03"	"-2.72e-01"	"RFPL1"
"242915_at"	"0.3736"	"1.58e-03"	"3.63e-01"	"ZNF682"
"236330_at"	"0.3736"	"1.58e-03"	"-3.36e-01"	""
"235937_at"	"0.3736"	"1.59e-03"	"4.79e-01"	"OCLN"
"206701_x_at"	"0.3736"	"1.59e-03"	"-4.19e-01"	"EDNRB"
"226553_at"	"0.3736"	"1.59e-03"	"-4.75e-01"	"TMPRSS2"
"1563933_a_at"	"0.3747"	"1.60e-03"	"-5.29e-01"	"PLD5"
"206600_s_at"	"0.3758"	"1.62e-03"	"4.35e-01"	"SLC16A5"
"1561205_at"	"0.3761"	"1.62e-03"	"-2.50e-01"	""
"208296_x_at"	"0.3775"	"1.64e-03"	"3.80e-01"	"TNFAIP8"
"244665_at"	"0.3775"	"1.65e-03"	"5.12e-01"	""
"229514_at"	"0.3775"	"1.65e-03"	"3.45e-01"	"GPATCH2L"
"228700_at"	"0.38"	"1.68e-03"	"3.06e-01"	"CXorf38"
"223908_at"	"0.38"	"1.69e-03"	"4.48e-01"	"HDAC8"
"205214_at"	"0.38"	"1.69e-03"	"-4.09e-01"	"STK17B"
"225561_at"	"0.38"	"1.71e-03"	"2.71e-01"	"SELT"
"236979_at"	"0.38"	"1.71e-03"	"-3.17e-01"	"BCL2L15"
"233814_at"	"0.38"	"1.72e-03"	"4.04e-01"	"EFNA5"
"236214_at"	"0.38"	"1.74e-03"	"7.54e-01"	"FAM71F1"
"204154_at"	"0.38"	"1.75e-03"	"-2.98e-01"	"CDO1"
"228972_at"	"0.38"	"1.76e-03"	"3.88e-01"	"PITPNA-AS1"
"231111_at"	"0.38"	"1.78e-03"	"5.28e-01"	"SCYL3"
"200995_at"	"0.38"	"1.79e-03"	"3.69e-01"	"IPO7"
"235295_at"	"0.38"	"1.79e-03"	"-5.23e-01"	"PANX1"
"229838_at"	"0.38"	"1.79e-03"	"-3.57e-01"	"NUCB2"
"242472_x_at"	"0.38"	"1.82e-03"	"2.94e-01"	"FNBP4"
"1560156_at"	"0.38"	"1.83e-03"	"3.25e-01"	"LOC101928054"
"1558041_a_at"	"0.38"	"1.83e-03"	"2.80e-01"	"KIAA0895L"
"201531_at"	"0.38"	"1.83e-03"	"3.09e-01"	"ZFP36"
"221645_s_at"	"0.38"	"1.83e-03"	"3.60e-01"	"ZNF83"
"205000_at"	"0.38"	"1.84e-03"	"2.86e-01"	"DDX3Y"
"229288_at"	"0.38"	"1.85e-03"	"6.29e-01"	"EPHA7"
"206805_at"	"0.38"	"1.85e-03"	"-4.36e-01"	"SEMA3A"
"238549_at"	"0.38"	"1.85e-03"	"3.46e-01"	"CBFA2T2"
"226889_at"	"0.38"	"1.86e-03"	"3.14e-01"	"WDR35"
"228156_at"	"0.38"	"1.86e-03"	"3.85e-01"	""
"242826_at"	"0.38"	"1.86e-03"	"4.80e-01"	""
"219505_at"	"0.38"	"1.87e-03"	"3.07e-01"	"CECR1"
"219696_at"	"0.38"	"1.88e-03"	"-2.96e-01"	"DENND1B"
"1566207_at"	"0.38"	"1.88e-03"	"3.21e-01"	"TCEA1"
"213626_at"	"0.38"	"1.89e-03"	"2.44e-01"	"CBR4"
"239329_at"	"0.38"	"1.89e-03"	"3.94e-01"	"RAB21"
"230399_at"	"0.38"	"1.90e-03"	"3.74e-01"	""
"223344_s_at"	"0.38"	"1.90e-03"	"-2.70e-01"	"MS4A7"
"226921_at"	"0.38"	"1.94e-03"	"2.66e-01"	"UBR1"
"228522_at"	"0.38"	"1.94e-03"	"3.17e-01"	"FBRSL1"
"212511_at"	"0.38"	"1.94e-03"	"3.83e-01"	"PICALM"
"1558300_at"	"0.38"	"1.94e-03"	"-2.80e-01"	"EFCAB5"
"203588_s_at"	"0.38"	"1.95e-03"	"-3.02e-01"	"TFDP2"
"238302_at"	"0.38"	"1.95e-03"	"-3.48e-01"	""
"214203_s_at"	"0.38"	"1.95e-03"	"6.68e-01"	"LOC102724788///PRODH"
"208311_at"	"0.38"	"1.97e-03"	"-2.79e-01"	"GPR50"
"228821_at"	"0.38"	"1.97e-03"	"5.09e-01"	"ST6GAL2"
"1557685_at"	"0.38"	"1.98e-03"	"4.02e-01"	"ASAP1-IT2"
"221345_at"	"0.38"	"1.98e-03"	"-3.70e-01"	"FFAR2"
"224168_at"	"0.38"	"1.98e-03"	"-2.37e-01"	"TXNDC2"
"224657_at"	"0.38"	"1.99e-03"	"2.82e-01"	"ERRFI1"
"240032_at"	"0.38"	"1.99e-03"	"4.61e-01"	"LOC105274304"
"1556657_at"	"0.38"	"2.00e-03"	"4.73e-01"	""
"203505_at"	"0.38"	"2.00e-03"	"4.90e-01"	"ABCA1"
"228555_at"	"0.38"	"2.01e-03"	"4.74e-01"	"CAMK2D"
"224730_at"	"0.38"	"2.02e-03"	"3.53e-01"	"DCAF7"
"228951_at"	"0.38"	"2.02e-03"	"4.07e-01"	"SLC38A7"
"232773_at"	"0.38"	"2.03e-03"	"4.34e-01"	""
"222699_s_at"	"0.38"	"2.03e-03"	"-3.66e-01"	"PLEKHF2"
"202656_s_at"	"0.38"	"2.04e-03"	"-2.75e-01"	"SERTAD2"
"218351_at"	"0.3808"	"2.06e-03"	"-2.94e-01"	"COMMD8"
"228128_x_at"	"0.3808"	"2.07e-03"	"4.39e-01"	"PAPPA"
"214041_x_at"	"0.3808"	"2.08e-03"	"2.87e-01"	"RPL37A"
"225363_at"	"0.3808"	"2.08e-03"	"3.54e-01"	"PTEN"
"223983_s_at"	"0.3808"	"2.08e-03"	"4.68e-01"	"C19orf12"
"230379_x_at"	"0.3808"	"2.09e-03"	"4.25e-01"	"NDUFAF7"
"217298_at"	"0.3808"	"2.09e-03"	"-3.50e-01"	"RPS14"
"227705_at"	"0.3808"	"2.10e-03"	"8.05e-01"	"TCEAL7"
"228159_at"	"0.3831"	"2.12e-03"	"3.52e-01"	"WDFY2"
"242516_x_at"	"0.3831"	"2.12e-03"	"4.29e-01"	"RBM46"
"231818_x_at"	"0.3845"	"2.14e-03"	"4.30e-01"	"SLC20A2"
"221378_at"	"0.3847"	"2.15e-03"	"-6.30e-01"	"CER1"
"233869_x_at"	"0.3847"	"2.15e-03"	"5.67e-01"	"DKFZP586B0319"
"238076_at"	"0.3866"	"2.17e-03"	"3.05e-01"	"GATAD2B"
"204267_x_at"	"0.3886"	"2.20e-03"	"2.54e-01"	"PKMYT1"
"209028_s_at"	"0.3886"	"2.20e-03"	"2.80e-01"	"ABI1"
"242736_at"	"0.3886"	"2.20e-03"	"5.40e-01"	""
"214101_s_at"	"0.3896"	"2.22e-03"	"3.12e-01"	"NPEPPS"
"227019_at"	"0.3918"	"2.24e-03"	"3.53e-01"	"C1orf226"
"213558_at"	"0.3934"	"2.25e-03"	"3.56e-01"	"PCLO"
"239671_at"	"0.3934"	"2.26e-03"	"4.56e-01"	"SYT16"
"207050_at"	"0.3934"	"2.27e-03"	"-4.25e-01"	"CACNA2D1"
"204727_at"	"0.3934"	"2.28e-03"	"3.14e-01"	"WDHD1"
"226765_at"	"0.3934"	"2.29e-03"	"4.89e-01"	"SPTBN1"
"219945_at"	"0.3934"	"2.29e-03"	"2.83e-01"	"DDX25"
"1558686_at"	"0.3946"	"2.30e-03"	"4.03e-01"	"MPV17L"
"214472_at"	"0.3952"	"2.34e-03"	"5.59e-01"	"HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A///HIST1H2AD"
"235092_at"	"0.3952"	"2.34e-03"	"4.14e-01"	""
"204779_s_at"	"0.3952"	"2.35e-03"	"-3.18e-01"	"HOXB7"
"1566607_at"	"0.3952"	"2.35e-03"	"-2.35e-01"	""
"226309_at"	"0.3952"	"2.36e-03"	"3.70e-01"	"DNAL1"
"217152_at"	"0.3952"	"2.36e-03"	"4.90e-01"	""
"1555559_s_at"	"0.3952"	"2.36e-03"	"-4.12e-01"	"USP25"
"223625_at"	"0.3952"	"2.36e-03"	"-5.15e-01"	"FAM126A"
"218168_s_at"	"0.3964"	"2.38e-03"	"3.07e-01"	"COQ8A"
"233877_at"	"0.3987"	"2.40e-03"	"3.42e-01"	""
"241613_at"	"0.3991"	"2.41e-03"	"4.64e-01"	""
"228244_at"	"0.3991"	"2.42e-03"	"3.50e-01"	"BLOC1S3"
"231929_at"	"0.3991"	"2.43e-03"	"-3.99e-01"	"IKZF2"
"1557369_a_at"	"0.3991"	"2.43e-03"	"4.84e-01"	"LINC00698"
"222476_at"	"0.3991"	"2.44e-03"	"3.47e-01"	"CNOT6"
"237555_at"	"0.4015"	"2.46e-03"	"3.52e-01"	"CARS2"
"205113_at"	"0.403"	"2.49e-03"	"-4.26e-01"	"NEFM"
"231919_at"	"0.403"	"2.49e-03"	"4.46e-01"	"DBT"
"239916_at"	"0.403"	"2.50e-03"	"-3.31e-01"	"CFAP52"
"230176_at"	"0.403"	"2.51e-03"	"4.20e-01"	"UEVLD"
"200749_at"	"0.403"	"2.51e-03"	"2.52e-01"	"RAN"
"221841_s_at"	"0.403"	"2.51e-03"	"4.29e-01"	"KLF4"
"208920_at"	"0.403"	"2.52e-03"	"3.32e-01"	"SRI"
